cluster	gene
0	GZMH
0	ENSMMUG00000029875
0	ENSMMUG00000001660
0	MAMU-AG
0	GZMB
0	CD8B
0	Mamu-DPB1
0	DRB1
0	LGALS1
1	CMC1
1	TYROBP
1	ENSMMUG00000018307
1	ENSMMUG00000018327
1	GNLY
1	TCF7
1	ENSMMUG00000042057
1	GZMM
1	CBR1
2	SPOCK2
2	TNFRSF25
2	PDZRN3
2	PERP
2	TNFSF13B
2	LTB
2	FURIN
2	MAP1LC3A
2	C4orf26
3	UBC
3	SQSTM1
3	GABARAPL1
3	NR4A2
3	TUBA4A
3	GADD45B
3	C15orf48
3	DRB1
3	CD83
4	IFI6
4	ISG15
4	LY6E
4	ISG20
4	IFIT2
4	ENSMMUG00000013256
4	GZMA
4	ENSMMUG00000013779
4	ENSMMUG00000031417
5	SPINK2
5	ENTPD1
5	ITGB7
5	ABCB1
5	ITGAE
5	OTUD5
5	S100A6
5	CCL5
5	ENSMMUG00000031417
6	TRAV9-2
6	ENSMMUG00000038329
6	KLRF1
6	PERP
6	CX3CR1
6	GZMB
6	GZMH
6	BST2
6	CD52
7	TAGLN2
7	EIF4A1
7	DDX3X
7	CAST
7	HNRNPU
7	EIF1B
7	MT-ND6
7	HUWE1
7	BHLHE40
8	OLFM4
8	CTSH
8	EGLN3
8	SPOCK2
8	CCR7
8	ENSMMUG00000029772
8	IL2RA
8	C4orf26
8	RPL22L1
9	CXCL3
9	IL1B
9	THBS1
9	APOBEC3A
9	IDO1
9	ENSMMUG00000048596
9	IFI30
9	ENSMMUG00000042343
9	SOD2
