cluster	gene
0	GZMH
0	ENSMMUG00000029875
0	ENSMMUG00000001660
0	GZMB
0	DRB1
0	Mamu-DPB1
0	CD8B
0	CD74
0	LGALS1
1	CMC1
1	TYROBP
1	ENSMMUG00000018307
1	ENSMMUG00000018327
1	GNLY
1	TCF7
1	ENSMMUG00000042057
1	GZMM
1	CBR1
2	TRAV9-2
2	ENSMMUG00000038329
2	ISG15
2	IFI6
2	LY6E
2	KLRF1
2	GZMH
2	CD52
2	ENSMMUG00000031417
3	UBC
3	SQSTM1
3	GABARAPL1
3	NR4A2
3	TUBA4A
3	GADD45B
3	IER2
3	C15orf48
3	CD83
4	SPINK2
4	ITGB7
4	ENTPD1
4	ABCB1
4	ITGAE
4	S100A6
4	MX1
4	OTUD5
4	ENSMMUG00000031417
5	SPOCK2
5	TNFRSF25
5	LTB
5	FURIN
5	CTSL
5	PERP
5	MAP1LC3A
5	C4orf26
5	CTSH
6	SPOCK2
6	PDZRN3
6	MX2
6	ENSMMUG00000013256
6	MX1
6	ISG20
6	PERP
6	IFIT2
6	MAP1LC3A
7	TNFRSF9
7	ENSMMUG00000013779
7	ENSMMUG00000018307
7	ENSMMUG00000042057
7	IFI6
7	ISG15
7	GZMA
7	RGS16
7	TNFRSF18
8	TAGLN2
8	EIF4A1
8	CAST
8	MT-ND6
8	DDX3X
8	CCL4L2
8	PREX1
8	HNRNPU
8	HUWE1
9	CXCL3
9	IL1B
9	THBS1
9	APOBEC3A
9	IDO1
9	ENSMMUG00000048596
9	IFI30
9	ENSMMUG00000042343
9	SOD2
10	CCL22
10	RAMP1
10	EBI3
10	IFI30
10	ENSMMUG00000008227
10	DRA
10	ENSMMUG00000042779
10	CCR7
10	CD74
