GeneSymbol	FullName	PreviousSymbols	Synonyms	Chromosome
CD1A	CD1a molecule	CD1		1q23.1
CD1B	CD1b molecule	CD1		1q23.1
CD1C	CD1c molecule	CD1		1q23.1
CD1D	CD1d molecule			1q23.1
CD1E	CD1e molecule			1q23.1
CD2	CD2 molecule	SRBC		1p13.1
CD3D	CD3d molecule	T3D		11q23.3
CD3E	CD3e molecule			11q23.3
CD3G	CD3g molecule			11q23.3
CD4	CD4 molecule			12p13.31
CD5	CD5 molecule	LEU1	T1	11q12.2
CD6	CD6 molecule		Tp120	11q12.2
CD7	CD7 molecule		GP40,LEU-9,TP41,Tp40	17q25.3
CD8A	CD8a molecule	CD8		2p11.2
CD8B	CD8b molecule	CD8B1		2p11.2
CD9	CD9 molecule	MIC3	BA2,P24,TSPAN29,MRP-1	12p13.31
MME	membrane metalloendopeptidase		NEP,CD10,CALLA	3q25.2
ITGAL	integrin subunit alpha L	CD11A	LFA-1	16p11.2
ITGAM	integrin subunit alpha M	CD11B, CR3A	MAC-1,CD11b	16p11.2
ITGAX	integrin subunit alpha X	CD11C	CD11c	16p11.2
ITGAD	integrin subunit alpha D		CD11d,ADB2	16p11.2
ANPEP	alanyl aminopeptidase, membrane	CD13, PEPN	LAP1,gp150,p150	15q26.1
CD14	CD14 molecule			5q31.3
FUT4	fucosyltransferase 4	ELFT, FCT3A, CD15	FUC-TIV	11q21
FCGR3A	Fc fragment of IgG receptor IIIa	FCGR3, FCG3	CD16a,CD16	1q23.3
FCGR3B	Fc fragment of IgG receptor IIIb	FCGR3, FCG3	CD16,CD16b	1q23.3
ITGB2	integrin subunit beta 2	MFI7, CD18	LFA-1,MAC-1	21q22.3
CD19	CD19 molecule			16p11.2
MS4A1	membrane spanning 4-domains A1	CD20	B1,Bp35,MS4A2	11q12.2
CR2	complement C3d receptor 2		CD21,C3DR	1q32.2
CD22	CD22 molecule		SIGLEC-2,SIGLEC2	19q13.12
FCER2	Fc fragment of IgE receptor II	CD23A, FCE2	CLEC4J,CD23	19p13.2
CD24	CD24 molecule		CD24A	6q21
IL2RA	interleukin 2 receptor subunit alpha	IL2R, IDDM10	CD25	10p15.1
DPP4	dipeptidyl peptidase 4	CD26, ADCP2	DPPIV	2q24.2
CD27	CD27 molecule	TNFRSF7	S152,Tp55	12p13.31
CD28	CD28 molecule			2q33.2
CTLA4	cytotoxic T-lymphocyte associated protein 4	CELIAC3, IDDM12	CD152,CD,GSE	2q33.2
ITGB1	integrin subunit beta 1	FNRB, MSK12, MDF2	GPIIA,CD29	10p11.22
TNFRSF8	TNF receptor superfamily member 8	D1S166E, CD30	KI-1	1p36.22
PECAM1	platelet and endothelial cell adhesion molecule 1		CD31	17q23.3
FCGR2A	Fc fragment of IgG receptor IIa	FCG2, FCGR2A1, FCGR2	CDw32,IGFR2,CD32A,CD32	1q23.3
FCGR2B	Fc fragment of IgG receptor IIb	FCG2, FCGR2	CD32B,CD32	1q23.3
FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)		CD32C,hFcRII-C	1q23.3
CD33	CD33 molecule		SIGLEC3,SIGLEC-3,p67,FLJ00391	19q13.41
CD34	CD34 molecule			1q32.2
CR1	complement C3b/C4b receptor 1 (Knops blood group)		CD35,KN	1q32.2
CD36	CD36 molecule		SCARB3,GPIV,FAT,GP4,GP3B	7q21.11
CD37	CD37 molecule		TSPAN26	19q13.33
CD38	CD38 molecule			4p15.32
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	CD39	NTPDase-1,ATPDase,SPG64	10q24.1
CD40	CD40 molecule	TNFRSF5	p50,Bp50	20q13.12
ITGA2B	integrin subunit alpha 2b	GP2B	CD41B,PPP1R93,CD41	17q21.31
GP9	glycoprotein IX platelet		CD42a,GPIX	3q21.3
GP1BA	glycoprotein Ib platelet alpha subunit	GP1B	GPIbalpha,CD42b	17p13.2
GP1BB	glycoprotein Ib platelet beta subunit		CD42c,GPIbbeta	22q11.21
GP5	glycoprotein V platelet		CD42d	3q29
SPN	sialophorin		GPL115,CD43,LSN	16p11.2
CD44	CD44 molecule (Indian blood group)	MIC4, MDU2, MDU3	IN,MC56,Pgp1,CD44R,HCELL,CSPG8	11p13
PTPRC	protein tyrosine phosphatase, receptor type C	CD45	LCA,T200,GP180	1q31.3-q32.1
CD46	CD46 molecule	MIC10, MCP	TRA2.10,MGC26544,TLX	1q32.2
CD47	CD47 molecule	MER6	IAP,OA3	3q13.12
CD48	CD48 molecule	BCM1	BLAST,mCD48,hCD48,SLAMF2	1q23.3
